"zcta5","state","cd114","stab","zipname","pop10","afact"
"ZIP Census Tabulation Area","FIPS state","cd114","State Postal Code","zipname","Total Pop, 2010 census","zcta5 to cd114 alloc factor"
"01960","25","06","MA","Peabody, MA",50944,1 
"01966","25","06","MA","Rockport, MA",6952,1 
"01969","25","06","MA","Rowley, MA",5856,1 
"01970","25","06","MA","Salem, MA",41109,1 
"01982","25","06","MA","South Hamilton, MA",7764,1 
"01983","25","06","MA","Topsfield, MA",6089,1 
"01984","25","06","MA","Wenham, MA",4875,1 
"01985","25","06","MA","West Newbury, MA",4235,1 
"02019","25","02","MA","Bellingham, MA",3694,0.226 
"02019","25","04","MA","Bellingham, MA",12638,0.774 
"02021","25","08","MA","Canton, MA",21561,1 
"02025","25","08","MA","Cohasset, MA",7542,1 
"02026","25","08","MA","Dedham, MA",24711,1 
"02030","25","04","MA","Dover, MA",5589,1 
"02032","25","08","MA","East Walpole, MA",4226,1 
"02035","25","04","MA","Foxboro, MA",16865,1 
"02038","25","04","MA","Franklin Town, MA",31635,1 
"02043","25","08","MA","Hingham, MA",22157,1 
"02045","25","08","MA","Hull, MA",10293,1 
"02047","25","08","MA","Humarock, MA (PO Boxes)",180,1 
"02048","25","04","MA","Mansfield, MA",23184,1 
"02050","25","08","MA","Marshfield, MA",297,0.012 
"02050","25","09","MA","Marshfield, MA",25132,0.988 
"02052","25","04","MA","Medfield, MA",12024,1 
"02053","25","04","MA","Medway, MA",12752,1 
"02054","25","04","MA","Millis-Clicquot, MA",7891,1 
"02056","25","04","MA","Norfolk, MA",10981,1 
"02061","25","09","MA","Norwell, MA",10506,1 
"02062","25","08","MA","Norwood, MA",28602,1 
"02066","25","08","MA","Scituate, MA",17656,1 
"02067","25","04","MA","Sharon, MA",17486,1 
"02071","25","04","MA","South Walpole, MA",246,0.144 
"02071","25","08","MA","South Walpole, MA",1461,0.856 
"02072","25","04","MA","Stoughton, MA",37,0.001 
"02072","25","08","MA","Stoughton, MA",26962,0.999 
"02081","25","04","MA","Walpole, MA",89,0.005 
